uri,code,result
/repositories/11/archival_objects/2399193,200,"{'status': 'Updated', 'id': 2399193, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399193', 'warnings': []}"
/repositories/11/archival_objects/2399194,200,"{'status': 'Updated', 'id': 2399194, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399194', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412885, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412885', 'warnings': []}"
/repositories/11/archival_objects/2399195,200,"{'status': 'Updated', 'id': 2399195, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399195', 'warnings': []}"
/repositories/11/archival_objects/2399196,200,"{'status': 'Updated', 'id': 2399196, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399196', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412886, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412886', 'warnings': []}"
/repositories/11/archival_objects/2399197,200,"{'status': 'Updated', 'id': 2399197, 'lock_version': 10, 'stale': True, 'uri': '/repositories/11/archival_objects/2399197', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412887, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412887', 'warnings': []}"
/repositories/11/archival_objects/2399198,200,"{'status': 'Updated', 'id': 2399198, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399198', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412888, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412888', 'warnings': []}"
/repositories/11/archival_objects/2399199,200,"{'status': 'Updated', 'id': 2399199, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399199', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412889, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412889', 'warnings': []}"
/repositories/11/archival_objects/2399200,200,"{'status': 'Updated', 'id': 2399200, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399200', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412890, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412890', 'warnings': []}"
/repositories/11/archival_objects/2399201,200,"{'status': 'Updated', 'id': 2399201, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399201', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412891, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412891', 'warnings': []}"
/repositories/11/archival_objects/2399202,200,"{'status': 'Updated', 'id': 2399202, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399202', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412892, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412892', 'warnings': []}"
/repositories/11/archival_objects/2399203,200,"{'status': 'Updated', 'id': 2399203, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399203', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412893, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412893', 'warnings': []}"
/repositories/11/archival_objects/2399204,200,"{'status': 'Updated', 'id': 2399204, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399204', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412894, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412894', 'warnings': []}"
/repositories/11/archival_objects/2399205,200,"{'status': 'Updated', 'id': 2399205, 'lock_version': 12, 'stale': True, 'uri': '/repositories/11/archival_objects/2399205', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412895, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412895', 'warnings': []}"
/repositories/11/archival_objects/2399206,200,"{'status': 'Updated', 'id': 2399206, 'lock_version': 9, 'stale': True, 'uri': '/repositories/11/archival_objects/2399206', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412896, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412896', 'warnings': []}"
/repositories/11/archival_objects/2399207,200,"{'status': 'Updated', 'id': 2399207, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399207', 'warnings': []}"
/repositories/11/archival_objects/2399208,200,"{'status': 'Updated', 'id': 2399208, 'lock_version': 13, 'stale': True, 'uri': '/repositories/11/archival_objects/2399208', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412897, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412897', 'warnings': []}"
/repositories/11/archival_objects/2399209,200,"{'status': 'Updated', 'id': 2399209, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399209', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412898, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412898', 'warnings': []}"
/repositories/11/archival_objects/2399210,200,"{'status': 'Updated', 'id': 2399210, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399210', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412899, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412899', 'warnings': []}"
