uri,title,call_number,series_title,component_id,title,value,dob_uri,dob_title,dob_id,barcode,conditions_governing_access,Local_access_restriction_type,container_id,container_id,container_id,location
/repositories/11/archival_objects/2399217,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 67,"Literary work, Roman-Byzantine CE late iii-iv [BPG]|Roman CE late iii [CBW]",file,/repositories/11/digital_objects/202153,P.CtYBR inv. 67,beba5090-e6af-4f47-a919-1ba4ad01dbd0,,,,P.CtYBR inv. 67,,,
/repositories/11/archival_objects/2399218,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 68,"Literary work, Roman CE i [BPG]|Roman BCE i-CE early i [CBW]",file,/repositories/11/digital_objects/201595,P.CtYBR inv. 68,04508370-3305-4481-b621-51afaa50c9dd,,,,P.CtYBR inv. 68,,,
/repositories/11/archival_objects/2399219,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 69,"Literary work, Roman CE late ii-iii [BPG]",file,/repositories/11/digital_objects/200499,P.CtYBR inv. 69,ad50b731-235f-45d3-9e8a-a9e4b66264b2,,,,P.CtYBR inv. 69,,,
/repositories/11/archival_objects/2399220,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 2189,"Letter, Roman CE early-i (?) [RD]",file,/repositories/11/digital_objects/199885,P.CtYBR inv. 2189,eb74ae7c-4b96-4453-99f5-b10b588721ac,,,,P.CtYBR inv. 2189,,,
/repositories/11/archival_objects/2399221,Yale Papyrus Collection,YPC,"Acquisition information, 1904 or 1906?",P.CtYBR inv. 28,"Literary work (?), Ptolemaic-Roman BCE i-CE i [CBW]",file,/repositories/11/digital_objects/199136,P.CtYBR inv. 28,a33b629f-0320-4260-95b2-b03e2d65290f,,,,P.CtYBR inv. 28,,,
/repositories/11/archival_objects/2399222,Yale Papyrus Collection,YPC,"Acquisition information, 1904 or 1906?",P.CtYBR inv. 29,"Document, Ptolemaic BCE ii [AES]",file,/repositories/11/digital_objects/201974,P.CtYBR inv. 29,60fe6f5d-e951-4288-bc19-075808fabce9,,,,P.CtYBR inv. 29,,,
/repositories/11/archival_objects/2399223,Yale Papyrus Collection,YPC,"Acquisition information, 1927",P.CtYBR inv. 70,"Account, Roman CE ii [HIB]",file,/repositories/11/digital_objects/204108,P.CtYBR inv. 70,a41c5fcf-97d7-4f24-bb6e-d7717fbc0170,,,,P.CtYBR inv. 70,,,
/repositories/11/archival_objects/2399224,Yale Papyrus Collection,YPC,"Acquisition information, 1927",P.CtYBR inv. 71,"Edict, Medieval CE early viii [HIB]| Medieval CE May-October 693 [NG/FM]",file,/repositories/11/digital_objects/199556,P.CtYBR inv. 71,6d1351eb-0b3c-43f1-b9ea-1e2c6469eb63,,,,P.CtYBR inv. 71,,,
/repositories/11/archival_objects/2399225,Yale Papyrus Collection,YPC,"Acquisition information, 1927",P.CtYBR inv. 72,"List, Byzantine-Medieval CE vi-vii [HIB] | Byzantine CE 619-619 [KAW]",file,/repositories/11/digital_objects/202855,P.CtYBR inv. 72,54951d01-d10b-4d0b-8a27-f289ca403bc3,,,,P.CtYBR inv. 72,,,
/repositories/11/archival_objects/2399226,Yale Papyrus Collection,YPC,"Acquisition information, 1927",P.CtYBR inv. 73,"Letter, Byzantine CE iv [HIB]",file,/repositories/11/digital_objects/203705,P.CtYBR inv. 73,830eacce-8181-4173-8935-d388d25004f4,,,,P.CtYBR inv. 73,,,
